"ID";"TCM_DN";"Rev";"ClientCode";"LastTrn";"LastTrnClient";"StagingPath"
"1123";"4355-JK-SE-00000004";"0";;;;
"1124";"4355-NN-DN-00000001";"AA";"2050-ELSLD-00001";"50-TTMCP-00001";"CPC-RLPP-WTR-003948";
"1125";"4355-NN-LE-50000001";"AA";"50-ELLE-00001";"50-TTMCP-00143";"RLPP-TCPTM-00043";
"1126";"4355-NN-LN-21000001";"AA";"21-ELLS-00001";"2122-TTMCP-00020";"CPC-RLPP-WTR-004474";
"1127";"4355-NN-LN-50000001";"AA";"50-ELLS-00001";"50-TTMCP-00005";"CPC-RLPP-WTR-004843";
"1128";"4355-SX-DG-00000001";"AA";"2050-SFDAL-00001";"2050-TTMCP-00132";"RLPP-TCPTM-00009";
"1129";"4355-NN-LE-22000001";"AA";"22-ELLE-00001";"2122-TTMCP-00248";"RLPP-TCPTM-00043";
"1130";"4355-SN-DH-00000001";"AA";"2050-SFDHZ-00001";;;
"1131";"4355-NN-LE-21000001";"AA";"21-ELLE-00001";"2122-TTMCP-00248";"RLPP-TCPTM-00043";
"1132";"4355-NN-LN-22000001";"AA";"22-ELLS-00001";"2122-TTMCP-00020";"CPC-RLPP-WTR-004475";
"1144";"4355-VA-FP-21003002";"AA";"21-PRDS-M3002";"2122-TTMCP-00075";"CPC-RLPP-WTR-005502";
"1145";"4355-SZ-LN-22000001";"AA";"22-ELLS-00003";"2122-TTMCP-00417";;
"1146";"4355-SZ-SG-00000002";"AA";"2050-EVES-00002";"2050-TTMCP-00076";"CPC-RLPP-WTR-005499";
"1147";"4355-SZ-LN-21000001";"AA";"21-ELLS-00003";"2122-TTMCP-00417";;
"1148";"4355-SZ-PM-00000001";"AA";"2050-PEPL-00003";;;
"1149";"4355-SZ-SR-00000001";"AA";"2050-SFES-00001";"2050-TTMCP-00092";"CPC-RLPP-WTR-005691";
"1150";"4355-SZ-PL-00000001";"AA";"2050-SFEP-00001";"2050-TTMCP-00013";"CPC-RLPP-WTR-004526";
"1152";"4355-SZ-SG-00000001";"AA";"2050-SFES-00022";;;
"1153";"4355-SZ-LN-50000001";"AA";"50-ELLS-00003";"50-TTMCP-00304";;
"1154";"4355-VA-FP-22003002";"AA";"22-PRDS-M3002";"2122-TTMCP-00075";"CPC-RLPP-WTR-005502";
"1155";"4355-VC-FP-21005064";"AA";"21-PRDS-T5064";"2122-TTMCP-00011";"CPC-RLPP-WTR-004544";
"1156";"4355-VA-FP-21003010";"AA";"21-PRDS-M3010";"2122-TTMCP-00075";"CPC-RLPP-WTR-005502";
"1157";"4355-VC-FP-22005074";"AA";"22-PRDS-T5074";"2122-TTMCP-00072";"CPC-RLPP-WTR-005410";
"1158";"4355-VC-FP-21002021";"AA";"21-PRDS-T2021";"2122-TTMCP-00014";"CPC-RLPP-WTR-004667";
"1159";"4355-VC-FP-22005064";"AA";"22-PRDS-T5064";"2122-TTMCP-00021";"CPC-RLPP-WTR-004730";
"1160";"4355-VA-FP-22003003";"AA";"22-PRDS-M3003AB";"2122-TTMCP-00075";"CPC-RLPP-WTR-005502";
"1161";"4355-VC-FP-22005079";"AA";"22-PRDS-T5079";"2122-TTMCP-00023";"CPC-RLPP-WTR-004729";
"1162";"4355-VA-FP-21003003";"AA";"21-PRDS-M3003AB";"2122-TTMCP-00075";"CPC-RLPP-WTR-005502";
"1163";"4355-VC-FP-21005074";"AA";"21-PRDS-T5074";"2122-TTMCP-00014";"CPC-RLPP-WTR-004668";
"1164";"4355-VD-FP-21003001";"AA";"21-PRDS-V3001";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1165";"4355-VD-FP-21002011";"AA";"21-PRDS-V2011AB";"2122-TTMCP-00012";"CPC-RLPP-WTR-004652";
"1166";"4355-VD-FP-21001011";"AA";"21-PRDS-V1011A-P";"2122-TTMCP-00110";"RLPP-TCPTM-00002";
"1167";"4355-VD-FP-21003002";"AA";"21-PRDS-V3002";"2122-TTMCP-00078";"CPC-RLPP-WTR-005476";
"1168";"4355-VC-FP-50007901";"AA";"50-PRDS-T7901";"50-TTMCP-00008";"CPC-RLPP-WTR-004684";
"1169";"4355-VD-FP-21002043";"AA";"21-PRDS-V2043AB";"2122-TTMCP-00027";"CPC-RLPP-WTR-004717";
"1170";"4355-VD-FP-21002042";"AA";"21-PRDS-V2042";"2122-TTMCP-00027";"CPC-RLPP-WTR-004704";
"1171";"4355-VD-FP-21002040";"AA";"21-PRDS-V2040";"2122-TTMCP-00012";"CPC-RLPP-WTR-004655";
"1172";"4355-VD-FP-21002024";"AA";"21-PRDS-V2024";"2122-TTMCP-00002";"CPC-RLPP-WTR-004246";
"1173";"4355-VD-FP-21003003";"AA";"21-PRDS-V3003AB";"2122-TTMCP-00078";"CPC-RLPP-WTR-005476";
"1174";"4355-VD-FP-21003006";"AA";"21-PRDS-V3006";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1175";"4355-VD-FP-21003010";"AA";"21-PRDS-V3010";"2122-TTMCP-00078";"CPC-RLPP-WTR-005476";
"1176";"4355-VD-FP-21003004";"AA";"21-PRDS-V3004";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1177";"4355-VD-FP-21003022";"AA";"21-PRDS-V3022";"2122-TTMCP-00027";"CPC-RLPP-WTR-004706";
"1178";"4355-VD-FP-21003007";"AA";"21-PRDS-V3007";"2122-TTMCP-00019";"CPC-RLPP-WTR-004723";
"1179";"4355-VD-FP-21003011";"AA";"21-PRDS-V3011";"2122-TTMCP-00019";"CPC-RLPP-WTR-004722";
"1180";"4355-VD-FP-21003008";"AA";"21-PRDS-V3008";"2122-TTMCP-00019";"CPC-RLPP-WTR-004724";
"1181";"4355-VD-FP-21003023";"AA";"21-PRDS-V3023AB";"2122-TTMCP-00027";"CPC-RLPP-WTR-004715";
"1182";"4355-VD-FP-21003009";"AA";"21-PRDS-V3009";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1183";"4355-VD-FP-21003005";"AA";"21-PRDS-V3005AB";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1184";"4355-VD-FP-21005001";"AA";"21-PRDS-V5001";"2122-TTMCP-00037";"CPC-RLPP-WTR-005018";
"1185";"4355-VD-FP-21005002";"AA";"21-PRDS-S5001AB";"2122-TTMCP-00049";"CPC-RLPP-WTR-005126";
"1186";"4355-VD-FP-21004021";"AA";"21-PRDS-V4021";"2122-TTMCP-00016";"CPC-RLPP-WTR-004732";
"1187";"4355-VD-FP-21004033";"AA";"21-PRDS-V4033";"2122-TTMCP-00019";"CPC-RLPP-WTR-004721";
"1188";"4355-VD-FP-21004022";"AA";"21-PRDS-S4021";"2122-TTMCP-00049";"CPC-RLPP-WTR-005126";
"1189";"4355-VD-FP-21004020";"AA";"21-PRDS-V4020";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1190";"4355-VD-FP-21005065";"AA";"21-PRDS-V5065";"2122-TTMCP-00048";"CPC-RLPP-WTR-005118";
"1191";"4355-VD-FP-21004023";"AA";"21-PRDS-V4023";"2122-TTMCP-00012";"CPC-RLPP-WTR-004656";
"1192";"4355-VD-FP-21005021";"AA";"21-PRDS-V5021";"2122-TTMCP-00027";"CPC-RLPP-WTR-004719";
"1193";"4355-VD-FP-21004004";"AA";"21-PRDS-V4004";"2122-TTMCP-00038";"CPC-RLPP-WTR-004993";
"1194";"4355-VD-FP-21008062";"AA";"21-PRDS-V8062";"2122-TTMCP-00068";"CPC-RLPP-WTR-005409";
"1195";"4355-VD-FP-21005075";"AA";"21-PRDS-V5075";"2122-TTMCP-00012";"CPC-RLPP-WTR-004659";
"1196";"4355-VD-FP-21006003";"AA";"21-PRDS-V6003";"2122-TTMCP-00087";"CPC-RLPP-WTR-005701";
"1198";"4355-VD-FP-21009012";"AA";"21-PRDS-V9012";"2122-TTMCP-00018";"CPC-RLPP-WTR-004669";
"1199";"4355-VD-FP-21006035";"AA";"21-PRDS-V6035";"2122-TTMCP-00012";"CPC-RLPP-WTR-004663";
"1200";"4355-VD-FP-21008061";"AA";"21-PRDS-V8061";"2122-TTMCP-00012";"CPC-RLPP-WTR-004662";
"1201";"4355-VD-FP-21006002";"AA";"21-PRDS-V6002";"2122-TTMCP-00087";"CPC-RLPP-WTR-005701";
"1202";"4355-VD-FP-22002024";"AA";"22-PRDS-V2024";"2122-TTMCP-00005";"CPC-RLPP-WTR-004372";
"1203";"4355-VD-FP-22002020";"AA";"22-PRDS-V2020AB";"2122-TTMCP-00005";"CPC-RLPP-WTR-004370";
"1204";"4355-VD-FP-22003004";"AA";"22-PRDS-V3004";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1205";"4355-VD-FP-22003018";"AA";"22-PRDS-V3018";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1206";"4355-VD-FP-22003003";"AA";"22-PRDS-V3003AB";"2122-TTMCP-00078";"CPC-RLPP-WTR-005476";
"1207";"4355-VD-FP-22003001";"AA";"22-PRDS-V3001";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1208";"4355-VD-FP-22002042";"AA";"22-PRDS-V2042";"2122-TTMCP-00027";"CPC-RLPP-WTR-004739";
"1209";"4355-VD-FP-22002043";"AA";"22-PRDS-V2043AB";"2122-TTMCP-00027";"CPC-RLPP-WTR-004793";
"1210";"4355-VD-FP-22003005";"AA";"22-PRDS-V3005AB";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1211";"4355-VD-FP-22003016";"AA";"22-PRDS-V3016";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1212";"4355-VD-FP-22003002";"AA";"22-PRDS-V3002";"2122-TTMCP-00078";"CPC-RLPP-WTR-005476";
"1213";"4355-VD-FP-22003011";"AA";"22-PRDS-V3011";"2122-TTMCP-00019";"CPC-RLPP-WTR-004725";
"1214";"4355-VD-FP-22004020";"AA";"22-PRDS-V4020";"2122-TTMCP-00084";"CPC-RLPP-WTR-005526";
"1215";"4355-VD-FP-22003023";"AA";"22-PRDS-V3023AB";"2122-TTMCP-00027";"CPC-RLPP-WTR-004741";
"1216";"4355-VD-FP-22004022";"AA";"22-PRDS-S4021";"2122-TTMCP-00049";"CPC-RLPP-WTR-005126";
"1217";"4355-VD-FP-22004015";"AA";"22-PRDS-V4015";"2122-TTMCP-00048";"CPC-RLPP-WTR-005118";
"1218";"4355-VD-FP-22004034";"AA";"22-PRDS-V4034";"2122-TTMCP-00048";"CPC-RLPP-WTR-005118";
"1219";"4355-VD-FP-22004021";"AA";"22-PRDS-V4021";"2122-TTMCP-00016";"CPC-RLPP-WTR-004731";
"1220";"4355-VD-FP-22004004";"AA";"22-PRDS-V4004";"2122-TTMCP-00038";"CPC-RLPP-WTR-004995";
"1221";"4355-VD-FP-22004033";"AA";"22-PRDS-V4033";"2122-TTMCP-00048";"CPC-RLPP-WTR-005118";
"1222";"4355-VD-FP-22004023";"AA";"22-PRDS-V4023";"2122-TTMCP-00042";"RLPP-TCPTM-00071";
"1223";"4355-VD-FP-22003022";"AA";"22-PRDS-V3022";"2122-TTMCP-00027";"CPC-RLPP-WTR-004740";
"1224";"4355-VD-FP-22005075";"AA";"22-PRDS-V5075";"2122-TTMCP-00027";"CPC-RLPP-WTR-004733";
"1225";"4355-VD-FP-22005065";"AA";"22-PRDS-V5065";"2122-TTMCP-00019";"CPC-RLPP-WTR-004545";
"1226";"4355-VD-FP-22005079";"AA";"22-PRDS-V5079";"2122-TTMCP-00027";"CPC-RLPP-WTR-004734";
"1227";"4355-VD-FP-22005021";"AA";"22-PRDS-V5021";"2122-TTMCP-00027";"CPC-RLPP-WTR-004738";
"1228";"4355-VD-FP-22006002";"AA";"22-PRDS-V6002";"2122-TTMCP-00087";"CPC-RLPP-WTR-005701";
"1229";"4355-VD-FP-22005067";"AA";"22-PRDS-V5067";"2122-TTMCP-00048";"CPC-RLPP-WTR-005118";
"1230";"4355-VD-FP-22005002";"AA";"22-PRDS-S5001AB";"2122-TTMCP-00049";"CPC-RLPP-WTR-005126";
"1231";"4355-VD-FP-22005001";"AA";"22-PRDS-V5001";"2122-TTMCP-00037";"CPC-RLPP-WTR-005020";
"1233";"4355-VD-FP-22005078";"AA";"22-PRDS-V5078AB";"2122-TTMCP-00005";"CPC-RLPP-WTR-004304";
"1235";"4355-VD-FP-50007901";"AA";"50-PRDS-V7901";"50-TTMCP-00003";"CPC-RLPP-WTR-004583";
"1236";"4355-VD-FP-22006003";"AA";"22-PRDS-V6003";"2122-TTMCP-00087";"CPC-RLPP-WTR-005701";
"1237";"4355-VD-FP-50007902";"AA";"50-PRDS-V7902";"50-TTMCP-00003";"CPC-RLPP-WTR-004584";
"1238";"4355-VD-FP-60008011";"AA";"60-PRDS-V8011A-E";"50-TTMCP-00049";"RLPP-TCPTM-00001";
