"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: DistributionMatrix";"Trigger Property: DocumentNumber";"Trigger Property: Message-Communication";"Trigger Property: Message-Warning";"Trigger Property: SiteURL";"Trigger Property: Transmittal";"FlowRunLink";"FlowError"
"08584986086159541253442151616CU196";"Succeeded";"12/19/2023 4:04:29 PM";"12/19/2023 4:05:19 PM";;"4300-NN-LK-800280001";"New document uploaded and ready for internal workflow:";"Document 4300-NN-LK-800280001 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986086159541253442151616CU196";"N/A"
"08584986084612327166039252758CU00";"Succeeded";"12/19/2023 4:07:04 PM";"12/19/2023 4:07:13 PM";;"4300-XZ-RT-U4B002048";"New document uploaded and ready for internal workflow:";"Document 4300-XZ-RT-U4B002048 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986084612327166039252758CU00";"N/A"
"08584986084610573407957960512CU196";"Succeeded";"12/19/2023 4:07:04 PM";"12/19/2023 4:07:16 PM";;"4300-XZ-RT-U4B002049";"New document uploaded and ready for internal workflow:";"Document 4300-XZ-RT-U4B002049 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986084610573407957960512CU196";"N/A"
"08584986084320549235852166868CU36";"Succeeded";"12/19/2023 4:07:33 PM";"12/19/2023 4:07:43 PM";;"4300-AA-DC-125020318";"New document uploaded and ready for internal workflow:";"Document 4300-AA-DC-125020318 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43P4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986084320549235852166868CU36";"N/A"
"08584986084308845139558745122CU34";"Succeeded";"12/19/2023 4:07:34 PM";"12/19/2023 4:07:45 PM";;"4300-AA-DC-125020319";"New document uploaded and ready for internal workflow:";"Document 4300-AA-DC-125020319 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43P4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986084308845139558745122CU34";"N/A"
"08584986082940331638261360302CU13";"Succeeded";"12/19/2023 4:09:51 PM";"12/19/2023 4:09:58 PM";;"K503-100-MR-1623-01";"New document uploaded and ready for internal workflow:";"Document K503-100-MR-1623-01 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/K503DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986082940331638261360302CU13";"N/A"
"08584986082938920332273513586CU02";"Succeeded";"12/19/2023 4:09:51 PM";"12/19/2023 4:09:59 PM";;"K503-100-MR-1611-01";"New document uploaded and ready for internal workflow:";"Document K503-100-MR-1611-01 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/K503DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986082938920332273513586CU02";"N/A"
"08584986081490199858975011188CU06";"Succeeded";"12/19/2023 4:12:16 PM";"12/19/2023 4:12:28 PM";;"4300-NN-DA-630280076";"New document uploaded and ready for internal workflow:";"Document 4300-NN-DA-630280076 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986081490199858975011188CU06";"N/A"
"08584986081487177424405675178CU38";"Succeeded";"12/19/2023 4:12:16 PM";"12/19/2023 4:12:22 PM";;"4300-NN-DA-600280077";"New document uploaded and ready for internal workflow:";"Document 4300-NN-DA-600280077 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986081487177424405675178CU38";"N/A"
"08584986078429710334571356402CU33";"Succeeded";"12/19/2023 4:17:22 PM";"12/19/2023 4:17:34 PM";;"4305-AQ-DA-000112DW1452001";"New document uploaded and ready for internal workflow:";"Document 4305-AQ-DA-000112DW1452001 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/4305DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986078429710334571356402CU33";"N/A"
"08584986077957461551487938401CU38";"Succeeded";"12/19/2023 4:18:09 PM";"12/19/2023 4:18:29 PM";;"4355-KK-BE-00000103";"New document uploaded and ready for internal workflow:";"Document 4355-KK-BE-00000103 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/4355DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986077957461551487938401CU38";"N/A"
"08584986077751025508225872945CU11";"Succeeded";"12/19/2023 4:18:30 PM";"12/19/2023 4:18:41 PM";;"4300-DZ-PL-X40000001";"New document uploaded and ready for internal workflow:";"Document 4300-DZ-PL-X40000001 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43X4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986077751025508225872945CU11";"N/A"
"08584986074736729527175279178CU196";"Succeeded";"12/19/2023 4:23:31 PM";"12/19/2023 4:23:41 PM";;"4355-VK-FP-50000004";"New document uploaded and ready for internal workflow:";"Document 4355-VK-FP-50000004 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/4355DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986074736729527175279178CU196";"N/A"
