"FlowId";"DisplayName";"FlowUrl";"Status";"CreatedTime";"ModifiedTime";"SolutionId";"TriggerConnectorType";"TriggerAction";"TriggerUri"
"f201b73c-1496-45f6-9d83-21f13d847e4b";"VDM 4305 - VDL Changes Propagation [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/f201b73c-1496-45f6-9d83-21f13d847e4b/details";"Stopped";"5/30/2022 7:26:59 AM";"11/16/2023 3:20:49 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"39f4c145-0dd9-44b9-bdb3-ced462ab787f";"VDM 4305 - VALIDATE EXCEL DATA [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/39f4c145-0dd9-44b9-bdb3-ced462ab787f/details";"Stopped";"5/30/2022 7:19:52 AM";"11/16/2023 3:20:41 PM";"N/A";"SharePoint";"GetOnUpdatedFileItems";"N/A"
"17bfee71-a6dd-4068-b4ff-ca6eef6f1e57";"VDM 4305 - Document Structure - New VDL Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/17bfee71-a6dd-4068-b4ff-ca6eef6f1e57/details";"Stopped";"5/30/2022 7:22:25 AM";"11/16/2023 3:20:19 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"9150ed2d-6d10-4cd2-996d-f10afe6d972a";"VDM 4305 - Delete Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/9150ed2d-6d10-4cd2-996d-f10afe6d972a/details";"Stopped";"5/30/2022 7:24:24 AM";"11/16/2023 3:20:14 PM";"N/A";"SharePoint";"GetOnDeletedItems";"N/A"
"e70e4509-b1e8-48f1-969f-f4b708ff1c0c";"VDM 4305 - WRITE EXCEL DATA - BATCH [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/e70e4509-b1e8-48f1-969f-f4b708ff1c0c/details";"Stopped";"5/30/2022 7:21:06 AM";"11/16/2023 3:18:22 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"eb19b63e-d4ed-4d42-ae63-1ba4b500d001";"VDM 4305 - ROUTING EXCEL [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/eb19b63e-d4ed-4d42-ae63-1ba4b500d001/details";"Stopped";"5/30/2022 7:28:16 AM";"11/16/2023 3:18:09 PM";"N/A";"SharePoint";"Request";"N/A"
"7302c631-9f24-4e42-8209-933ea14315fc";"VDM 4245 - VDL Changes Propagation [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/7302c631-9f24-4e42-8209-933ea14315fc/details";"Stopped";"3/18/2022 4:17:13 PM";"11/16/2023 3:12:35 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"39896d7f-e674-47b2-8c4e-ee497d54c561";"VDM 4245 - VALIDATE EXCEL DATA [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/39896d7f-e674-47b2-8c4e-ee497d54c561/details";"Stopped";"3/18/2022 4:16:09 PM";"11/16/2023 3:12:27 PM";"N/A";"SharePoint";"GetOnUpdatedFileItems";"N/A"
"a10424f6-24b4-4671-a9d7-bfe6f0d0c078";"VDM 4245 - Document Structure - New VDL Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a10424f6-24b4-4671-a9d7-bfe6f0d0c078/details";"Stopped";"3/18/2022 4:12:09 PM";"11/16/2023 3:12:16 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"e9256976-7a6a-41db-a54b-b7e24abfa8ec";"VDM 4245 - Delete Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/e9256976-7a6a-41db-a54b-b7e24abfa8ec/details";"Stopped";"3/18/2022 4:15:06 PM";"11/16/2023 3:12:10 PM";"N/A";"SharePoint";"GetOnDeletedItems";"N/A"
